id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe
1,HDFCBANK,10 Years: 21%,10 Years: 22%,10 Years:     15%,10 Years:     17%
10,SBILIFE,5 Years:       24%,5 Years:            6%,5 Years:       8%,5 Years          14%
11,SBILIFE,3 Years:       17%,3 Years:            9%,3 Years:       7%,3 Years:         13%
12,SBILIFE,TTM:            43%,TTM:                 18%,1 Year:         -2%,Last Year:      12%
13,TCS,10 Years:     11%,10 Years:          9%,10 Years:      14%,10 Years:       40%
14,TCS,5 Years:       10%,5 Years:            8%,5 Years:      16%,5 Years:          44%
15,TCS,3 Years:       14%,3 Years:            12%,3 Years:      8%,3 Years:          47%
16,TCS,TTM:            5%,TTM:                 8%,1 Year:       16%,Last Year:       52%
17,WIPRO,10 Years:     8%,10 Years:          3%,10 Years:     12%,10 Years:        18%
18,WIPRO,5 Years:       9%,5 Years:            4%,5 Years:     20%,5 Years:          17%
