id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets
136,ABB,Dec 2012,21.0,626,0,260,907,109,1,0,798,907
137,ABB,Mar 2014,21.0,767,0,351,1139,98,1,0,1040,1139
138,ABB,Mar 2015,21.0,916,0,436,1374,96,4,0,1274,1374
139,ABB,Mar 2016,21.0,1174,0,421,1616,108,3,0,1505,1616
140,ABB,Mar 2017,21.0,1366,0,679,2066,110,6,0,1950,2066
141,ABB,Mar 2018,21.0,1672,0,723,2416,81,2,0,2333,2416
142,ABB,Mar 2019,21.0,1987,0,932,2941,105,1,0,2835,2941
143,ABB,Mar 2020,21.0,2410,175,940,3547,270,2,0,3275,3547
144,ABB,Mar 2021,21.0,2581,153,1086,3840,251,1,0,3589,3840
145,ABB,Mar 2022,21.0,2799,152,1253,4224,271,1,0,3952,4224
